ip.version,ip.hdr_len,ip.id,ip.flags,ip.flags.rb,ip.flags.df,ip.flags.mf,ip.frag_offset,ip.ttl,ip.proto,ip.checksum,ip.src,ip.dst,ip.len,ip.dsfield,tcp.srcport,tcp.dstport,tcp.seq,tcp.ack,tcp.len,tcp.hdr_len,tcp.flags,tcp.flags.fin,tcp.flags.syn,tcp.flags.reset,tcp.flags.push,tcp.flags.ack,tcp.flags.urg,tcp.flags.cwr,tcp.window_size,tcp.checksum,tcp.urgent_pointer,tcp.time_delta,tcp.stream,frame.time_relative,frame.len,stream_key,average_time_delta,std_time_delta,average_ttl,std_ttl,average_len,std_len,os
4,20,0x2731,64,0,1,0,0,128,6,0x0000,10.0.0.10,142.250.186.100,284,0,62657,443,2295,49867,244,20,24,0,0,0,1,1,0,0,131072,0x5477,0,0.002372,7,18.625221,298,10,0.0073364,0.015202017784199278,128.0,0.0,31.8,76.13555163143052,Windows
4,20,0x2735,64,0,1,0,0,128,6,0x0000,10.0.0.10,142.250.186.100,75,0,62657,443,2539,49867,35,20,24,0,0,0,1,1,0,0,131072,0x53a6,0,0.022526,7,18.720482,89,10,0.0073364,0.015202017784199278,128.0,0.0,31.8,76.13555163143052,Windows
4,20,0x2737,64,0,1,0,0,128,6,0x0000,10.0.0.10,142.250.186.100,40,0,62657,443,2574,51066,0,20,16,0,0,0,0,1,0,0,131840,0x5383,0,0.000277,7,18.753607,54,10,0.0073364,0.015202017784199278,128.0,0.0,31.8,76.13555163143052,Windows
4,20,0x2738,64,0,1,0,0,128,6,0x0000,10.0.0.10,142.250.186.100,40,0,62657,443,2574,51129,0,20,16,0,0,0,0,1,0,0,131840,0x5383,0,7.1e-05,7,18.756018,54,10,0.0073364,0.015202017784199278,128.0,0.0,31.8,76.13555163143052,Windows
4,20,0xfa2b,64,0,1,0,0,128,6,0x0000,10.0.0.10,20.190.160.68,52,0,62658,443,0,0,0,32,2,0,1,0,0,0,0,0,65535,0xbf32,0,0.0,8,18.558386,66,12,0.0027298999999999995,0.007064669253090023,128.0,0.0,133.8,224.54932642962882,Windows
4,20,0xfa2c,64,0,1,0,0,128,6,0x0000,10.0.0.10,20.190.160.68,40,0,62658,443,1,1,0,20,16,0,0,0,0,1,0,0,262144,0xbf26,0,0.000102,8,18.635944,54,12,0.0027298999999999995,0.007064669253090023,128.0,0.0,133.8,224.54932642962882,Windows
4,20,0xfa2d,64,0,1,0,0,128,6,0x0000,10.0.0.10,20.190.160.68,250,0,62658,443,1,1,210,20,24,0,0,0,1,1,0,0,262144,0xbff8,0,0.002584,8,18.638528,264,12,0.0027298999999999995,0.007064669253090023,128.0,0.0,133.8,224.54932642962882,Windows
4,20,0xfa2e,64,0,1,0,0,128,6,0x0000,10.0.0.10,20.190.160.68,40,0,62658,443,211,2721,0,20,16,0,0,0,0,1,0,0,262144,0xbf26,0,0.000116,8,18.72422,54,12,0.0027298999999999995,0.007064669253090023,128.0,0.0,133.8,224.54932642962882,Windows
4,20,0xfa2f,64,0,1,0,0,128,6,0x0000,10.0.0.10,20.190.160.68,40,0,62658,443,211,4226,0,20,16,0,0,0,0,1,0,0,262144,0xbf26,0,0.000195,8,18.729916,54,12,0.0027298999999999995,0.007064669253090023,128.0,0.0,133.8,224.54932642962882,Windows
4,20,0xfa30,64,0,1,0,0,128,6,0x0000,10.0.0.10,20.190.160.68,198,0,62658,443,211,4226,158,20,24,0,0,0,1,1,0,0,262144,0xbfc4,0,0.022708,8,18.752624,212,12,0.0027298999999999995,0.007064669253090023,128.0,0.0,133.8,224.54932642962882,Windows
4,20,0xfa31,64,0,1,0,0,128,6,0x0000,10.0.0.10,20.190.160.68,40,0,62658,443,369,4277,0,20,16,0,0,0,0,1,0,0,261888,0xbf26,0,7.3e-05,8,18.830793,54,12,0.0027298999999999995,0.007064669253090023,128.0,0.0,133.8,224.54932642962882,Windows
4,20,0xfa32,64,0,1,0,0,128,6,0x0000,10.0.0.10,20.190.160.68,741,0,62658,443,369,4277,701,20,24,0,0,0,1,1,0,0,261888,0xc1e3,0,0.001105,8,18.831898,755,12,0.0027298999999999995,0.007064669253090023,128.0,0.0,133.8,224.54932642962882,Windows
4,20,0xfa33,64,0,1,0,0,128,6,0x0000,10.0.0.10,20.190.160.68,309,0,62658,443,1070,4277,269,20,24,0,0,0,1,1,0,0,261888,0xc033,0,0.000161,8,18.832059,323,12,0.0027298999999999995,0.007064669253090023,128.0,0.0,133.8,224.54932642962882,Windows
4,20,0xfa34,64,0,1,0,0,128,6,0x0000,10.0.0.10,20.190.160.68,40,0,62658,443,1339,5342,0,20,16,0,0,0,0,1,0,0,260864,0xbf26,0,0.000255,8,18.926505,54,12,0.0027298999999999995,0.007064669253090023,128.0,0.0,133.8,224.54932642962882,Windows
4,20,0xfa35,64,0,1,0,0,128,6,0x0000,10.0.0.10,20.190.160.68,826,0,62658,443,1339,5342,786,20,24,0,0,0,1,1,0,0,260864,0xc238,0,0.072008,8,18.998513,840,13,0.04333842857142857,0.0869127684632838,128.0,0.0,572.5714285714286,615.6478585313895,Windows
4,20,0xfa36,64,0,1,0,0,128,6,0x0000,10.0.0.10,20.190.160.68,1400,0,62658,443,2125,5342,1360,20,16,0,0,0,0,1,0,0,260864,0xc476,0,0.000102,8,18.998615,1414,13,0.04333842857142857,0.0869127684632838,128.0,0.0,572.5714285714286,615.6478585313895,Windows
4,20,0xfa37,64,0,1,0,0,128,6,0x0000,10.0.0.10,20.190.160.68,1400,0,62658,443,3485,5342,1360,20,16,0,0,0,0,1,0,0,260864,0xc476,0,0.0,8,18.998615,1414,13,0.04333842857142857,0.0869127684632838,128.0,0.0,572.5714285714286,615.6478585313895,Windows
4,20,0xfa38,64,0,1,0,0,128,6,0x0000,10.0.0.10,20.190.160.68,542,0,62658,443,4845,5342,502,20,24,0,0,0,1,1,0,0,260864,0xc11c,0,0.0,8,18.998615,556,13,0.04333842857142857,0.0869127684632838,128.0,0.0,572.5714285714286,615.6478585313895,Windows
4,20,0xfa39,64,0,1,0,0,128,6,0x0000,10.0.0.10,20.190.160.68,40,0,62658,443,5347,8062,0,20,16,0,0,0,0,1,0,0,262144,0xbf26,0,0.000191,8,19.153652,54,13,0.04333842857142857,0.0869127684632838,128.0,0.0,572.5714285714286,615.6478585313895,Windows
4,20,0xfa3a,64,0,1,0,0,128,6,0x0000,10.0.0.10,20.190.160.68,40,0,62658,443,5347,13466,0,20,16,0,0,0,0,1,0,0,262144,0xbf26,0,0.000232,8,19.158947,54,13,0.04333842857142857,0.0869127684632838,128.0,0.0,572.5714285714286,615.6478585313895,Windows
4,20,0xfa3b,64,0,1,0,0,128,6,0x0000,10.0.0.10,20.190.160.68,40,0,62658,443,5347,13466,0,20,20,0,0,1,0,1,0,0,0,0xbf26,0,0.230836,8,19.389783,54,13,0.04333842857142857,0.0869127684632838,128.0,0.0,572.5714285714286,615.6478585313895,Windows
4,20,0x8a4d,64,0,1,0,0,128,6,0x0000,10.0.0.10,204.79.197.219,52,0,62659,443,0,0,0,32,2,0,1,0,0,0,0,0,64240,0x9c5b,0,0.0,9,19.37693,66,14,0.000936,0.002616731082009681,128.0,0.0,435.4,562.2496875153522,Windows
4,20,0x8a4e,64,0,1,0,0,128,6,0x0000,10.0.0.10,204.79.197.219,40,0,62659,443,1,1,0,20,16,0,0,0,0,1,0,0,131840,0x9c4f,0,0.00011,9,19.445318,54,14,0.000936,0.002616731082009681,128.0,0.0,435.4,562.2496875153522,Windows
4,20,0x8a4f,64,0,1,0,0,128,6,0x0000,10.0.0.10,204.79.197.219,557,0,62659,443,1,1,517,20,24,0,0,0,1,1,0,0,131840,0x9e54,0,0.000425,9,19.445743,571,14,0.000936,0.002616731082009681,128.0,0.0,435.4,562.2496875153522,Windows
4,20,0x8a50,64,0,1,0,0,128,6,0x0000,10.0.0.10,204.79.197.219,40,0,62659,443,518,4081,0,20,16,0,0,0,0,1,0,0,131840,0x9c4f,0,6.9e-05,9,19.535118,54,14,0.000936,0.002616731082009681,128.0,0.0,435.4,562.2496875153522,Windows
4,20,0x8a51,64,0,1,0,0,128,6,0x0000,10.0.0.10,204.79.197.219,40,0,62659,443,518,5686,0,20,16,0,0,0,0,1,0,0,131840,0x9c4f,0,3.4e-05,9,19.538745,54,14,0.000936,0.002616731082009681,128.0,0.0,435.4,562.2496875153522,Windows
4,20,0x8a52,64,0,1,0,0,128,6,0x0000,10.0.0.10,204.79.197.219,198,0,62659,443,518,5686,158,20,24,0,0,0,1,1,0,0,131840,0x9ced,0,0.008375,9,19.54712,212,14,0.000936,0.002616731082009681,128.0,0.0,435.4,562.2496875153522,Windows
4,20,0x8a53,64,0,1,0,0,128,6,0x0000,10.0.0.10,204.79.197.219,139,0,62659,443,676,5686,99,20,24,0,0,0,1,1,0,0,131840,0x9cb2,0,0.000153,9,19.547273,153,14,0.000936,0.002616731082009681,128.0,0.0,435.4,562.2496875153522,Windows
4,20,0x8a54,64,0,1,0,0,128,6,0x0000,10.0.0.10,204.79.197.219,1400,0,62659,443,775,5686,1360,20,16,0,0,0,0,1,0,0,131840,0xa19f,0,0.000147,9,19.54742,1414,14,0.000936,0.002616731082009681,128.0,0.0,435.4,562.2496875153522,Windows
4,20,0x8a55,64,0,1,0,0,128,6,0x0000,10.0.0.10,204.79.197.219,900,0,62659,443,2135,5686,860,20,24,0,0,0,1,1,0,0,131840,0x9fab,0,0.0,9,19.54742,914,14,0.000936,0.002616731082009681,128.0,0.0,435.4,562.2496875153522,Windows
4,20,0x8a56,64,0,1,0,0,128,6,0x0000,10.0.0.10,204.79.197.219,1400,0,62659,443,2995,5686,1360,20,16,0,0,0,0,1,0,0,131840,0xa19f,0,4.7e-05,9,19.547467,1414,14,0.000936,0.002616731082009681,128.0,0.0,435.4,562.2496875153522,Windows
4,20,0x8a57,64,0,1,0,0,128,6,0x0000,10.0.0.10,204.79.197.219,647,0,62659,443,4355,5686,607,20,24,0,0,0,1,1,0,0,131840,0x9eae,0,0.0,9,19.547467,661,15,8.66e-05,7.470809862391092e-05,128.0,0.0,129.0,267.71626771640155,Windows
4,20,0x8a58,64,0,1,0,0,128,6,0x0000,10.0.0.10,204.79.197.219,40,0,62659,443,4962,6028,0,20,16,0,0,0,0,1,0,0,131328,0x9c4f,0,4.7e-05,9,19.620969,54,15,8.66e-05,7.470809862391092e-05,128.0,0.0,129.0,267.71626771640155,Windows
4,20,0x8a59,64,0,1,0,0,128,6,0x0000,10.0.0.10,204.79.197.219,40,0,62659,443,4962,6135,0,20,16,0,0,0,0,1,0,0,131328,0x9c4f,0,6.7e-05,9,19.624623,54,15,8.66e-05,7.470809862391092e-05,128.0,0.0,129.0,267.71626771640155,Windows
4,20,0x8a5a,64,0,1,0,0,128,6,0x0000,10.0.0.10,204.79.197.219,78,0,62659,443,4962,6135,38,20,24,0,0,0,1,1,0,0,131328,0x9c75,0,0.000193,9,19.624816,92,15,8.66e-05,7.470809862391092e-05,128.0,0.0,129.0,267.71626771640155,Windows
